iterations,learning_rate,hidden_nodes,training_loss,validation_loss
100,0.1,2,0.914,1.422
1000,0.1,2,0.335,0.538
2000,0.1,2,0.272,0.452
3000,0.1,2,0.253,0.415
3000,0.1,4,0.264,0.437
3000,0.1,4,0.255,0.421
3000,0.1,8,0.259,0.429
3000,0.1,16,0.266,0.452
5000,0.1,16,0.248,0.427
5000,0.2,16,0.115,0.212
5000,0.3,16,0.11,0.229
5000,0.2,24,0.241,0.414
5000,0.2,12,0.176,0.31
5000,0.3,12,0.095,0.208
5000,0.3,10,0.114,0.239
5000,0.4,12,0.083,0.209
5000,0.4,10,0.066,0.151
5000,0.5,10,0.073,0.239
5000,0.45,10,0.082,0.167
5000,0.4,10,0.064,0.146
5000,0.4,9,0.068,0.17
5000,0.5,9,0.06,0.193
5000,0.5,8,0.072,0.158
5000,0.6,9,0.071,0.172
5000,0.6,10,0.069,0.163
10000,0.8,10,0.052,0.147
10000,0.4,10,0.061,0.149
10000,0.5,10,0.054,0.169
10000,0.9,10,0.053,0.151
10000,0.5,12,0.07,0.161
10000,0.8,12,0.049,0.162
10000,0.9,12,0.049,0.134
10000,1,12,0.053,0.14
10000,1,10,0.051,0.181
10000,0.9,13,0.051,0.137
10000,0.9,14,0.052,0.15
10000,0.9,11,0.06,0.169
10000,1.1,10,0.052,0.144
10000,1.1,9,0.053,0.217
10000,1,14,0.054,0.156
